,Filename,File Extension,Time Created,Time Modified
57,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 14:29:57,2020-03-17 14:29:57
58,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(100000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
59,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(100000)_Ratio(1).out,out,2020-03-17 14:33:21,2020-03-17 14:33:21
60,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(20000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
61,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(20000)_Ratio(1).out,out,2020-03-17 14:35:41,2020-03-17 14:35:42
62,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(40000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
63,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(40000)_Ratio(1).out,out,2020-03-17 14:38:22,2020-03-17 14:38:22
64,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(50000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
65,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(50000)_Ratio(1).out,out,2020-03-17 14:40:44,2020-03-17 14:40:44
66,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(80000)_Ratio(1).mx3,mx3,2020-03-17 12:45:05,2020-03-17 12:00:39
67,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(80000)_Ratio(1).out,out,2020-03-17 14:43:20,2020-03-17 14:43:20
68,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.35)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
69,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.35)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 14:46:14,2020-03-17 14:46:14
70,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
71,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 14:49:46,2020-03-17 14:49:47
72,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(20000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
73,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(20000)_Ratio(1).out,out,2020-03-17 14:48:48,2020-03-17 14:48:48
74,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(30000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
75,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(30000)_Ratio(1).out,out,2020-03-17 14:51:31,2020-03-17 14:51:32
76,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(60000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
77,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(60000)_Ratio(1).out,out,2020-03-17 14:54:00,2020-03-17 14:54:01
78,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(70000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
79,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.61)_In_PlaneAnis_K(70000)_Ratio(1).out,out,2020-03-17 14:58:24,2020-03-17 14:58:24
80,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.86)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
